"","No_Exercise","Few_Fruit_Veg","Obesity","High_Blood_Pres","Smoker","Diabetes","ALE"
"1",26.9,80.4,25.2,28.6,24.6,8.5,75.8
"2",23,78.2,20.5,25.8,22.1,6.6,76.5
"3",27.9,78.9,24.5,32.5,24.7,8.9,76.5
"4",28.2,75.6,23.9,27.8,20.7,8.5,74.6
"5",23.4,74.5,22.5,32.7,28.9,6.7,75.2
"11",28.2,79.7,27.6,39,28.5,13,74.9
"12",18.9,78.3,20.8,26.7,21,4.8,76.8
"15",22.2,68.1,21.3,26.7,20.4,7.8,72
"16",34.1,79.1,32.7,42.2,24.1,10.9,73.3
"18",27.1,79,25.3,29.7,23.8,7.9,75
"19",34.9,79.3,30.5,35,33.8,11.5,72.2
"24",29.2,81.9,27,33.2,25.5,11.2,73.1
"27",27.8,78.6,24.5,29.1,26.6,14.2,74.9
"28",24.9,76.3,23.1,34.8,23.6,8.1,76.7
"29",24.2,72,19,28.4,22.5,8.5,77.2
"30",32.9,75.2,27.9,29.2,22.2,9.2,76.5
"31",29.6,80.9,30.5,32.4,27,11.6,73.7
"32",22.2,76.4,16.8,27.3,20.1,6.4,78
"33",25,76.2,23,34.7,28.3,10.4,76.8
"34",24.6,75.6,19.3,24.6,27.3,4.8,76.4
"35",21.6,72.7,18,28.5,20,6.4,79.6
"36",19.4,78.9,16.3,24.8,23.3,6.3,78
"38",25.8,70.3,18.8,24.8,18.4,7.1,78.3
"42",27.2,75.3,21.9,31,29.1,9.2,77
"44",28.9,74.8,19.5,32.2,25.2,8.8,75.7
"47",22.9,73.2,23.1,37.6,19.9,9.1,79.5
"48",28.7,71.9,17.6,38.9,21.8,11.6,76.7
"49",21.4,75.6,20.6,21.8,28.9,7.9,75.9
"50",23.3,73.7,17.5,23.1,22,7.1,76.4
"51",30.3,82.8,31.2,26.5,30,6,74.1
"52",21.3,73.4,19.8,29,17.6,8.4,81
"56",24.2,77.6,24.4,29.4,21,6.5,74.5
"57",27.9,72.7,27,33.3,26.5,8.4,75.2
"58",21.8,65.6,14.1,34.3,19.5,9.7,78.4
"69",29.9,71.5,21.5,26.3,24.3,10.3,77.1
"70",28.2,72.4,20.7,42.7,21,9.6,78
"71",25.5,77.1,21.9,22.8,24.1,8,76
"73",23.7,76.6,20.5,22.4,24.7,6.9,75.3
"75",19.7,71.1,19,28,22.3,7.4,79.3
"79",23,72.2,21.4,34.4,24.4,7.8,77.7
"80",27.4,75.8,18.7,30.9,26.6,9.8,78.9
"81",20.6,77.4,16.2,19.6,20.1,4.6,76.8
"87",26.9,69.7,18.4,31.1,21.5,8.2,78.2
"88",26.1,76.1,23.7,35,25.2,9.4,76.7
"89",24.2,74.5,13.9,26.4,22.1,6.4,79.6
"90",34.6,79,19,24.2,17.6,8.1,77.6
"91",21.2,73.1,20,26.3,26.4,7.2,77.5
"93",19.3,73.3,20.7,28.5,22,7.6,76.6
"95",25.9,78.3,19.5,23.6,19.8,7.2,76.9
"96",29,77.6,22.2,19.7,23,7.3,76.8
"97",23.4,69.9,18.3,27.8,20.1,7.8,79.1
"98",23.7,76.4,20.3,31.5,27.8,8.8,77.9
"101",32.1,80.4,26.8,21.3,25.6,11.5,75.8
"107",30.1,79.2,30.3,34.4,22.6,11.1,74.6
"108",16.3,73.3,16.2,20.3,17.6,3.7,77.5
"111",21,74,21.3,22.5,16.8,5,74.1
"114",24.2,73.4,27.8,23.4,23.5,11,75.4
"118",22.7,76.3,19.2,20.2,19.8,5.5,78.3
"119",31.2,74.5,20.8,26.6,25,6.5,76.4
"120",28.2,75.7,24.8,27.4,20.9,7.9,76
"121",30.6,78.3,25.1,29.9,32.7,8.9,75.3
"127",19.5,79.1,25.8,20.4,21.6,7.5,76
"128",21.7,81.2,24,33.3,25,9.7,75.7
"130",28.7,80.1,22.1,27.3,21.7,7.3,74
